<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20201214;000000;72.9975000;73.9850000;72.6475000;73.3475000;16594805000
20201221;000000;73.9150000;75.9100000;73.6225000;74.1700000;17405312000
20201228;000000;74.1425000;74.9900000;73.3650000;74.4150000;9146183000
20210104;000000;74.1350000;75.2875000;73.0550000;74.1550000;9237331000
20210111;000000;74.4325000;75.0000000;73.1025000;73.6450000;17115246000
20210118;000000;74.0075000;75.3625000;73.2000000;75.3000000;16271180000
20210125;000000;74.9325000;76.5000000;74.5300000;75.7550000;20816022000
20210201;000000;75.5975000;76.3425000;74.5125000;74.6450000;16564354000
20210208;000000;74.5000000;74.5775000;73.5000000;73.7175000;15234417000
20210215;000000;73.3800000;74.2000000;73.1250000;74.0800000;15930821000
20210222;000000;74.1900000;75.0750000;73.3250000;74.6300000;14993464000
20210301;000000;74.2500000;74.9800000;73.3500000;74.2025000;19376977000
20210308;000000;74.5000000;74.5350000;73.1800000;73.3300000;11772899000
20210315;000000;73.4000000;74.4800000;72.5300000;74.1150000;20374873000
20210322;000000;74.3750000;76.9800000;74.1750000;75.6550000;19800945000
